Threat_ID,Threat_Name,Lane,Archetype,Surface,Authority_IN,Authority_EU,Authority_US,Velocity,Pain_Tier,Pain_Category,Pain_Depth,Status,Effective_Date,Legal_Pain,FP_Mechanism,FP_Impact,Lex_Nova_Fix,Hunter_Trigger,Provenance,,,
TRN_BIO_001,The Diarization Voiceprint Trap,Both,TRN,Sensitive/Biometric | Enterprise-Private,DPDP Act 2023 consent/purpose duties + IT Act/SPDI biometric privacy posture where applicable,GDPR Art. 9 biometric data + Art. 6/7 lawful basis/consent,Cruz v. Fireflies.AI + Basich v. Microsoft + Illinois BIPA section 15,ACTIVE_NOW,T1,Existential,Corporate,Active,2025-12-18,"Cruz v. Fireflies.AI and Basich v. Microsoft established that speaker diarization and vocal-pitch assessment constitute illegal biometric harvesting under BIPA. Standard in-call audio prompts do NOT satisfy BIPA §15 written-consent requirements. Statutory damages are $1,000-$5,000 per violation, per speaker, per session.","your product does speaker diarization or voiceprint analysis on audio from BIPA-state users without BIPA §15 written consent — and Cruz v. Fireflies.AI plus Basich v. Microsoft just confirmed that ""this call is being recorded"" prompts don't satisfy the consent requirement","$1,000-$5,000 per violation, per speaker, per session. statutory damages with attorney fees. and class certification for BIPA cases is clean — every user in the state is in the class by default",DOC_AUP §3.6 — pre-built BIPA §15-compliant speaker-consent module.,"CONDITION_1: Product records OR analyzes OR processes voice/audio for speaker separation OR speaker identification OR voiceprint OR vocal-pattern analysis. | CONDITION_2: Product captures participants from Illinois OR US biometric states OR India OR EU/UK OR does not exclude those markets. | CONDITION_3: Product lacks one or more controls: written biometric consent OR participant notice OR retention schedule OR deletion route OR biometric policy OR call-level consent workflow. | CONDITION_4: Audio includes multiple speakers OR meeting participants OR customer/user conversations. | TRIGGER_IF: CONDITION_1 = TRUE AND CONDITION_3 = TRUE AND AT_LEAST_1_OF(CONDITION_2, CONDITION_4) = TRUE | EXCLUDE_IF: Product obtains written/recorded biometric consent, provides retention/deletion policy, and disables speaker biometric processing where consent is absent.",v1:I07_BIO_001 · Lane→Both (binds deployers; absorbs LB-07),TRN,BIO,1
TRN_BIO_002,Strict Liability Biometric Consent,A,TRN,Sensitive/Biometric,DPDP Act 2023 consent/purpose duties + IT Act/SPDI biometric privacy posture where applicable,GDPR Art. 9 biometric data + Art. 6/7 lawful basis/consent,Illinois BIPA (740 ILCS 14) + Texas CUBI (Tex. Bus. & Com. Code section 503.001),ACTIVE_NOW,T1,Existential,Corporate,Active,2008-10-03,"Illinois BIPA imposes strict liability of $1,000 per negligent violation and $5,000 per intentional violation. The Illinois Supreme Court has held that no actual harm is required; the statutory violation itself grounds the claim.","your product captures biometric data from Illinois or Texas users without prior written consent and the statutory disclosures — which under BIPA and CUBI is strict liability: the violation itself is the injury, no actual harm required","$1,000 per negligent violation, $5,000 per intentional, per user, per instance. class certification is near-automatic because every user is similarly situated. and the damages don't require proving any user was actually harmed",DOC_AUP §3.6 — pre-built BIPA §15 / CUBI-compliant written-consent and retention module.,"CONDITION_1: Product captures OR collects OR derives biometric identifiers OR biometric information, including face geometry OR voiceprint OR fingerprint OR retina/iris OR gait OR equivalent identifier. | CONDITION_2: Product serves Illinois OR Texas OR other US biometric states OR India OR EU/UK OR does not exclude those markets. | CONDITION_3: Product lacks one or more controls: prior written consent OR biometric notice OR retention/destruction schedule OR public biometric policy OR opt-out/deletion workflow. | CONDITION_4: Biometric processing happens before explicit consent OR for users who are not direct account holders. | TRIGGER_IF: CONDITION_1 = TRUE AND CONDITION_3 = TRUE AND AT_LEAST_1_OF(CONDITION_2, CONDITION_4) = TRUE | EXCLUDE_IF: Product obtains prior written consent, publishes biometric policy, limits retention, and provides deletion/destruction workflow before processing.",v1:I07_BIO_002,TRN,BIO,2
TRN_BIO_003,Colorado Biometric Retention Architecture,A,TRN,Sensitive/Biometric,DPDP Act 2023 consent/purpose duties where biometric personal data is processed,GDPR Art. 9 biometric data + Art. 5 storage limitation,Colorado Privacy Act Biometric Amendment (HB 24-1130),ACTIVE_NOW,T3,Deal Death,Corporate,Upcoming,2026-10-01,Colorado Privacy Act Biometric Amendment establishes structured biometric retention requirements and explicit consent architectures specifically for AI deployments.,"your product processes Colorado resident biometrics without the retention policy, explicit-consent architecture, and consumer rights mechanisms the Colorado Privacy Act now requires for AI deployments",Colorado AG enforcement with civil penalties and injunctive relief. Colorado market access narrows until compliance lands. and the retention-policy documentation plus consumer-rights workflow is a material compliance build,DOC_AUP §3.6 — pre-built HB 24-1130 biometric-retention and consent module.,"CONDITION_1: Product processes biometric identifiers OR biometric data for Colorado residents OR does not exclude Colorado users. | CONDITION_2: Product uses biometric data for AI training OR identification OR verification OR analytics OR personalization. | CONDITION_3: Product lacks one or more controls: explicit consent architecture OR retention schedule OR destruction policy OR consumer-rights workflow OR biometric-data notice. | CONDITION_4: Product retains biometric data OR templates OR embeddings after the initial purpose is complete. | TRIGGER_IF: CONDITION_1 = TRUE AND AT_LEAST_1_OF(CONDITION_2, CONDITION_4) = TRUE AND CONDITION_3 = TRUE | EXCLUDE_IF: Product has explicit biometric consent, retention/destruction policy, consumer-rights workflow, and documented deletion trigger.",v1:I07_BIO_003,TRN,BIO,3
TRN_BIO_004,Expanding State Biometric Regimes,A,TRN,Sensitive/Biometric,DPDP Act 2023 consent/purpose duties where biometric personal data is processed,GDPR Art. 9 biometric data + national biometric/privacy regimes,"State-level biometric legislation: Washington, New York, Massachusetts and other pending regimes",INCOMING,T3,Deal Death,Corporate,Pending,2026-12-31,"Multiple states have biometric privacy legislation in active committee markup, largely modeled on BIPA's consent-and-retention framework with varying penalty structures.","your biometric compliance is built for Illinois and Texas only — while Washington, New York, Massachusetts, and others are actively advancing BIPA-style biometric laws that would require parallel consent and retention architectures",multi-state compliance surface expansion as new laws activate. parallel BIPA-style statutory damages in each jurisdiction that passes one. and the compliance architecture that works for two states doesn't automatically scale to five,DOC_AUP §3.6 — pre-built multi-state biometric compliance module designed for regime expansion.,"CONDITION_1: Product captures OR derives OR stores biometric identifiers OR biometric information. | CONDITION_2: Product serves US users OR multi-state US markets OR does not exclude biometric-regime states. | CONDITION_3: Compliance design is limited to Illinois/Texas OR lacks scalable state-specific consent/retention architecture. | CONDITION_4: Product lacks one or more controls: jurisdiction map OR modular consent text OR retention policy variants OR deletion workflow OR biometric-state update process. | TRIGGER_IF: CONDITION_1 = TRUE AND CONDITION_2 = TRUE AND AT_LEAST_1_OF(CONDITION_3, CONDITION_4) = TRUE | EXCLUDE_IF: Product uses modular biometric compliance architecture with state mapping, consent variants, retention/destruction workflows, and update process for new regimes.",v1:I07_BIO_004,TRN,BIO,4
UNI_CNS_001,Browsewrap Invalidity,A,UNI,Consumer-Public | Enterprise-Private,"Indian Contract Act, 1872 §§2(b), 10, 13 + IT Act, 2000 §10A",—,Specht v. Netscape Communications Corp. (2d Cir. 2002),ACTIVE_NOW,T3,Deal Death,Corporate,Active,2002-10-01,"Specht v. Netscape established that mere availability of terms through a hyperlink without affirmative user assent fails to form a binding contract, voiding arbitration clauses, forum selection, liability caps, and class action waivers against that user.","your signup uses a passive ""by using this site you agree"" banner instead of an unchecked checkbox — and under Specht, the contract with that user never actually forms",the arbitration clause and liability cap in your ToS stop binding the users who signed up through that flow. the enterprise deal gets redlined. and any class action you thought was waived is back on the table.,DOC_TOS §1.1 — pre-built Specht-proof §1.1 acceptance-flow module. drops in review-ready.,"CONDITION_1: Public terms OR onboarding uses one or more passive assent signals: continued-use acceptance OR browse-to-bind OR footer-only terms OR download/use-as-acceptance OR by-using-this-site language. | CONDITION_2: User can access OR sign up OR submit OR download OR buy without a separate affirmative assent act tied to the terms. | CONDITION_3: Terms link is footer-only OR hidden OR visually remote OR below the CTA OR absent at commitment point. | CONDITION_4: Product serves India OR US OR EU/UK OR global users OR does not exclude those markets. | TRIGGER_IF: CONDITION_1 = TRUE AND CONDITION_2 = TRUE AND CONDITION_3 = TRUE | EXCLUDE_IF: First-party signup flow OR checkout OR order form OR customer agreement OR UI shows affirmative clickwrap or signed assent before access/purchase, with conspicuous linked terms at the commitment point and evidence sufficient to defeat passive-assent conditions.",v1:UNI_CNS_001,UNI,CNS,1
UNI_CNS_002,Cluttered Mobile Consent,A,UNI,Consumer-Public | Enterprise-Private,"Indian Contract Act, 1872 §§10, 13 + IT Act, 2000 §10A",—,"Meyer v. Uber Technologies, Inc. (2d Cir. 2017)",ACTIVE_NOW,T3,Deal Death,Corporate,Active,2017-08-17,"Meyer v. Uber set the ""reasonably conspicuous notice and unambiguous manifestation of assent"" standard for mobile consent flows. Courts strike consent flows that fail this test, voiding the arbitration clause and liability caps for affected users.","your mobile signup buries the ToS checkbox below the fold or stacks it with three other agreements, which fails the visual bar Meyer v. Uber set for mobile consent",courts strike the arbitration clause for the mobile users. enterprise buyers flag it in diligence. and your mobile-first user base — the biggest group you have — is the easiest one to turn into a class action.,DOC_TOS §1.1 — pre-built Meyer-calibrated mobile consent module. passes the visual-inspection test the first time.,"CONDITION_1: Mobile signup OR mobile checkout asks user to accept terms OR bundled agreements. | CONDITION_2: Consent has one or more defects: below-fold text OR tiny text OR hidden link OR separated checkbox OR bundled consents OR pre-check OR legal text not visible before tap. | CONDITION_3: User can proceed without separate affirmative assent at the action point. | CONDITION_4: Flow serves India OR US OR EU/UK OR global users OR does not exclude those markets. | TRIGGER_IF: CONDITION_1 = TRUE AND CONDITION_2 = TRUE AND CONDITION_3 = TRUE | EXCLUDE_IF: First-party mobile UI OR signup flow OR checkout documentation shows a conspicuous terms link and separate affirmative assent next to the CTA before completion, with consent not bundled or pre-checked.",v1:UNI_CNS_002,UNI,CNS,2
UNI_CNS_003,Unconscionable Venue,A,UNI,Consumer-Public,"Indian Contract Act, 1872 §28 + Consumer Protection Act, 2019",—,"Bragg v. Linden Research, Inc. (E.D. Pa. 2007)",ACTIVE_NOW,T3,Deal Death,Corporate,Active,2007-05-30,"Bragg v. Linden Research established that forcing users into distant, high-cost arbitration venues can be found unconscionable and unenforceable, collapsing the company's ability to compel arbitration and reopening the door to class litigation.","your arbitration clause makes consumers travel across the country to dispute anything, with no small-claims carve-out and no cost-shifting — which is exactly what Bragg v. Linden called unconscionable",you lose the ability to force arbitration. the class actions you thought were waived come back alive. and the clause enterprise buyers rely on when they buy from you gets struck in the same breath.,DOC_TOS §14.3 — pre-built Bragg-proof venue module with the carve-outs courts actually honor.,"CONDITION_1: Dispute clause requires consumers OR small customers to use fixed distant venue OR foreign court OR out-of-state forum OR high-cost arbitration. | CONDITION_2: Clause lacks one or more controls: small-claims carve-out OR consumer forum OR user-location fallback OR online dispute option OR provider-paid fees OR statutory-remedy preservation. | CONDITION_3: Product is consumer-facing OR self-serve OR low-ticket OR sold to users unlikely to travel or pay for venue. | CONDITION_4: Product serves India OR US OR EU/UK OR global users OR does not exclude those markets. | TRIGGER_IF: CONDITION_1 = TRUE AND CONDITION_2 = TRUE AND CONDITION_3 = TRUE | EXCLUDE_IF: First-party terms OR dispute clause OR customer agreement shows local/user-accessible forum, statutory-remedy preservation, small-claims carve-out, online process, or provider-paid dispute costs sufficient to defeat unconscionable-venue conditions.",v1:UNI_CNS_003,UNI,CNS,3
UNI_CNS_004,Dark Pattern Cancellation,A,UNI,Consumer-Public,"Consumer Protection Act, 2019 + CCPA Dark Pattern Guidelines, 2023",UCPD 2005/29/EC + DSA dark-pattern principles,"ROSCA, 15 U.S.C. §8401 et seq. + FTC Act §5",ACTIVE_NOW,T2,Uncapped Money,Personal,Active,2010-12-29,"ROSCA and FTC Act Section 5 impose uncapped civil penalties and consumer redress obligations on ""negative option"" subscription flows where cancellation is materially harder than signup. Recent FTC actions have settled in the eight- and nine-figure range and named individual officers.",your cancel flow takes more clicks than your signup flow — which is the exact pattern the FTC calls a negative-option dark pattern under ROSCA,eight-figure civil penalties. consumer redress going back to every subscriber who ever tried to cancel. no cap on how far back they reach. and the consent decree changes how you run the business for years afterward.,DOC_TOS §1.1 — pre-built ROSCA-sized cancel-flow module. keeps your name off the FTC complaint.,"CONDITION_1: Product has subscription OR free trial OR recurring billing OR auto-renewal OR negative-option plan OR credit renewal OR paid account continuing unless cancelled. | CONDITION_2: Signup OR renewal is online OR in-app OR self-serve OR otherwise low-friction. | CONDITION_3: Cancellation shows one or more friction signals: extra steps OR phone/email contact OR live chat OR hidden settings OR retention screens OR confirmshaming OR forced survey OR confusing buttons OR delay OR unclear effective date. | CONDITION_4: Product serves India OR US OR EU/UK OR global consumers OR does not exclude those markets. | TRIGGER_IF: CONDITION_1 = TRUE AND CONDITION_2 = TRUE AND CONDITION_3 = TRUE | EXCLUDE_IF: First-party billing UI OR account settings OR help documentation OR terms show cancellation is same-medium, clear, timely, self-service, and no more burdensome than signup.",v1:UNI_CNS_004,UNI,CNS,4
UNI_CNS_005,Subscription Price Hike Consent,A,UNI,Consumer-Public,—,—,NY General Business Law §527-a,ACTIVE_NOW,T2,Uncapped Money,Corporate,Active,2025-12-01,"New York auto-renewal law requires separate affirmative consent, or advance notice with cancellation rights where applicable, before certain subscription price increases are charged to consumers. Non-compliant renewal or price-change practices can trigger statutory claims, restitution, and class-action pressure for affected subscribers.",your ToS lets you raise subscription prices on New York customers without a separate consent step — which is what the amended NY auto-renewal law started requiring in December 2025,statutory damages for every affected customer. restitution going back to every hike that didn't get consent. and the class-action bar in New York has the list of every auto-renewal service that didn't update its flow.,DOC_TOS §1.1 — pre-built NY auto-renewal consent module. keeps price hikes from becoming subscriber claims.,CONDITION_1: Product offers auto-renewing subscription OR recurring paid plan OR membership OR paid account with future renewal charges. | CONDITION_2: Terms OR pricing materials allow post-enrollment price changes: price hike OR fee hike OR usage-charge hike OR plan re-tiering OR automatic migration. | CONDITION_3: Public terms OR checkout flow lack one or more price-change controls: separate affirmative consent OR advance notice with cancellation right OR renewal-specific acceptance OR pre-charge opt-out. | CONDITION_4: Product serves New York OR US consumers OR does not exclude those markets. | TRIGGER_IF: CONDITION_1 = TRUE AND CONDITION_2 = TRUE AND CONDITION_3 = TRUE AND CONDITION_4 = TRUE | EXCLUDE_IF: First-party checkout flow OR account settings OR renewal notice OR terms show price hikes require separate consent or advance notice with no-penalty cancellation before charge.,v1:UNI_CNS_005,UNI,CNS,5
UNI_CNS_006,FTC Click-to-Cancel Rule,A,UNI,Consumer-Public,"Consumer Protection Act, 2019 + CCPA Dark Pattern Guidelines, 2023",UCPD 2005/29/EC + DSA dark-pattern principles,"ROSCA, 15 U.S.C. §8401 et seq. + FTC Act §5; FTC Click-to-Cancel Rule vacated / rulemaking pending",ACTIVE_NOW,T2,Uncapped Money,Personal,Active,2010-12-29,"ROSCA and FTC Act Section 5 remain active hooks against negative-option and cancellation-friction practices that make cancellation materially harder than enrollment. The FTC Click-to-Cancel rule was vacated before enforcement and is treated here only as pending/restarted rulemaking context, not as an active codified federal standard.",your cancel flow makes customers phone or email to cancel something they signed up for online — which is the exact pattern the FTC's Click-to-Cancel rule targets,"per-violation penalties stacking on every subscriber who ever tried to cancel. restitution on top. state AG pile-on from every state with its own consumer law. each piece uncapped, each piece adds to the last.",DOC_TOS §1.1 — pre-built ROSCA/FTC §5 cancellation module. keeps cancellation friction from becoming enforcement bait.,"CONDITION_1: Product uses recurring-charge mechanism: subscription OR auto-renewal OR free-to-paid conversion OR negative-option offer OR membership OR credit renewal OR recurring usage fee. | CONDITION_2: Enrollment is online OR in-app OR self-serve OR lower-friction than cancellation. | CONDITION_3: Cancellation shows one or more friction signals: no same-medium cancellation OR phone/email only OR live agent OR business-hours limit OR retention screen OR forced survey OR confirmshaming OR delay OR hidden settings OR more steps than enrollment. | CONDITION_4: Product serves India OR US OR EU/UK OR global consumers OR does not exclude those markets. | TRIGGER_IF: CONDITION_1 = TRUE AND CONDITION_2 = TRUE AND CONDITION_3 = TRUE | EXCLUDE_IF: First-party billing UI OR account settings OR help documentation OR terms show cancellation matches enrollment medium and is clear, self-service, timely, and no more burdensome than signup.",v1:UNI_CNS_006,UNI,CNS,6
